1,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/AjType.html,"T> ?extends java.lang.reflect.Type, java.lang.reflect.AnnotatedElement The runtime representation of a type (Aspect, Class, Interface, Annotation, Enum, or Array) in an AspectJ ?program. ?"
2,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/PointcutExpression.html,"Represents an anonymous pointcut expression as used in pointcuts, advice declarations, ?declares, and per-clauses ?"
3,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/PerClause.html,AspectJ runtime representation of the per-clause associated with an aspect. ?
4,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/Pointcut.html,AspectJ runtime representation of a pointcut member inside a class or aspect. ?
5,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/Advice.html,Runtime representation of an advice declaration inside an aspect ?
6,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/InterTypeDeclaration.html,"Represents an inter-type method, field, or constructor declared in an aspect. ?"
7,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/InterTypeMethodDeclaration.html,"Represents an inter-type method, field, or constructor declared in an aspect. ? ?extends InterTypeDeclaration Represents an inter-type method declaration member within an aspect. ?"
8,http://eclipse.org/aspectj/doc/released/runtime-api/org/aspectj/lang/reflect/InterTypeDeclaration.html,"Represents an inter-type method, field, or constructor declared in an aspect. ?"
9,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/InterTypeConstructorDeclaration.html,"Represents an inter-type method, field, or constructor declared in an aspect. ? ?extends InterTypeDeclaration Runtime representation of an inter-type constructor member declared within an ?aspect. ?"
10,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/InterTypeFieldDeclaration.html,"Represents an inter-type method, field, or constructor declared in an aspect. ? ?extends InterTypeDeclaration Represents an inter-type field declaration declared in an aspect. ?"
11,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/SignaturePattern.html,"AspectJ runtime representation of a signature pattern as used in various ?aspect members (for example, declare @method, declare @field). ?"
12,http://eclipse.org/aspectj/doc/released/aspectj5rt-api/org/aspectj/lang/reflect/TypePattern.html,AspectJ runtime representation of a type pattern as used in member declarations ?such as declare parents. ?
